State,Population,Deaths,U_C_Rate
AL,33558432,4770,14.21401334
AK,5024225,1125,22.39151312
AZ,45411117,7848,17.28211178
AR,20500179,3294,16.06815238
CA,263818096,27639,10.47653683
CO,35830443,6664,18.59870948
CT,25062400,2431,9.699789326
DE,6359102,800,12.58039264
DC,4337658,277,6.38593453
FL,133938024,20232,15.10549387
GA,68637645,8079,11.77050873
HI,9638796,1261,13.08254682
ID,11083018,2052,18.51481248
IL,89878068,8790,9.779916498
IN,45589693,6214,13.63027384
IA,21436265,2772,12.93135721
KS,20049651,2896,14.4441417
KY,30512862,4662,15.27880276
LA,31920282,3981,12.47169433
ME,9303773,1473,15.83228654
MD,40839701,3876,9.490764881
MA,46256590,3994,8.634445384
MI,69300707,8743,12.61603291
MN,37440030,4489,11.98984082
MS,20824763,2745,13.18142252
MO,42018262,6319,15.03869913
MT,6991079,1608,23.00074137
NE,12883593,1450,11.25462439
NV,19143270,3734,19.50554947
NH,9237313,1373,14.86362972
NJ,61826877,4806,7.77331839
NM,14442111,2950,20.42637673
NY,136468396,11126,8.152803379
NC,67487062,8644,12.80838096
ND,4845414,758,15.64365811
OH,80842617,10051,12.4327989
OK,26472654,4524,17.08933302
OR,27073057,4761,17.58574955
PA,89064065,11745,13.1871367
RI,7374400,808,10.95682361
SC,32744318,4601,14.05129281
SD,5777731,950,16.44244081
TN,44799722,6774,15.12062954
TX,179470855,20498,11.42135307
UT,19666542,3502,17.80689254
VT,4380714,730,16.66395021
VA,56660701,7185,12.68074675
WA,47707906,6972,14.61393003
WV,12956295,2107,16.26236513
WI,39931436,5347,13.39045257
WY,3981420,918,23.05710023